"","x","y","sst"
"174",-70.375,41.125,16.47428533
"175",-70.125,41.125,15.9207140371429
"176",-69.875,41.125,15.1185712135714
"177",-69.625,41.125,14.224999565
"178",-69.375,41.125,13.3192853921429
"179",-69.125,41.125,12.8014282492857
"180",-68.875,41.125,12.5714283678571
"181",-79.875,40.875,NA
"182",-79.625,40.875,NA
"183",-79.375,40.875,NA
"184",-79.125,40.875,NA
"185",-78.875,40.875,NA
"186",-78.625,40.875,NA
"187",-78.375,40.875,NA
"188",-78.125,40.875,NA
"189",-77.875,40.875,NA
"190",-77.625,40.875,NA
"191",-77.375,40.875,NA
"192",-77.125,40.875,NA
"193",-76.875,40.875,NA
"194",-76.625,40.875,NA
"195",-76.375,40.875,NA
"196",-76.125,40.875,NA
"197",-75.875,40.875,NA
"198",-75.625,40.875,NA
"199",-75.375,40.875,NA
"200",-75.125,40.875,NA
"201",-74.875,40.875,NA
"202",-74.625,40.875,NA
"203",-74.375,40.875,NA
"204",-74.125,40.875,NA
"205",-73.875,40.875,NA
"206",-73.625,40.875,NA
"207",-73.375,40.875,NA
"208",-73.125,40.875,NA
"209",-72.875,40.875,NA
"210",-72.625,40.875,NA
"211",-72.375,40.875,16.998571125
"212",-72.125,40.875,16.8735714628571
"213",-71.875,40.875,16.9271422121429
"214",-71.625,40.875,17.038571085
"215",-71.375,40.875,16.9849996571429
"216",-71.125,40.875,16.8407141135714
"217",-70.875,40.875,16.6849998757143
"218",-70.625,40.875,16.48357112
"219",-70.375,40.875,16.0378568521429
"220",-70.125,40.875,15.2878568492857
"221",-69.875,40.875,14.3571424485714
"222",-69.625,40.875,13.4871425628571
"223",-69.375,40.875,12.7957139692857
"224",-69.125,40.875,12.5857139985714
"225",-68.875,40.875,12.74642815
"226",-79.875,40.625,NA
"227",-79.625,40.625,NA
"228",-79.375,40.625,NA
"229",-79.125,40.625,NA
"230",-78.875,40.625,NA
"231",-78.625,40.625,NA
"232",-78.375,40.625,NA
"233",-78.125,40.625,NA
"234",-77.875,40.625,NA
"235",-77.625,40.625,NA
"236",-77.375,40.625,NA
"237",-77.125,40.625,NA
"238",-76.875,40.625,NA
"239",-76.625,40.625,NA
"240",-76.375,40.625,NA
"241",-76.125,40.625,NA
"242",-75.875,40.625,NA
"243",-75.625,40.625,NA
"244",-75.375,40.625,NA
"245",-75.125,40.625,NA
"246",-74.875,40.625,NA
"247",-74.625,40.625,NA
"248",-74.375,40.625,NA
"249",-74.125,40.625,NA
"250",-73.875,40.625,19.9221425735714
"251",-73.625,40.625,19.8128566742857
"252",-73.375,40.625,19.5121423164286
"253",-73.125,40.625,19.05285672
"254",-72.875,40.625,18.5657140178571
"255",-72.625,40.625,18.1342853821429
"256",-72.375,40.625,17.62928554
"257",-72.125,40.625,17.4892851964286
"258",-71.875,40.625,17.5528567857143
"259",-71.625,40.625,17.6828566285714
"260",-71.375,40.625,17.68071379
"261",-71.125,40.625,17.5321422285714
"262",-70.875,40.625,17.3228567664286
"263",-70.625,40.625,17.004999775
"264",-70.375,40.625,16.3742852207143
"265",-70.125,40.625,15.4357139021429
"266",-69.875,40.625,14.3957139428571
"267",-69.625,40.625,13.5885712071429
"268",-69.375,40.625,13.2685710364286
"269",-69.125,40.625,13.5328568078571
"270",-68.875,40.625,14.1499996171429
"271",-79.875,40.375,NA
"272",-79.625,40.375,NA
"273",-79.375,40.375,NA
"274",-79.125,40.375,NA
"275",-78.875,40.375,NA
"276",-78.625,40.375,NA
"277",-78.375,40.375,NA
"278",-78.125,40.375,NA
"279",-77.875,40.375,NA
"280",-77.625,40.375,NA
"281",-77.375,40.375,NA
"282",-77.125,40.375,NA
"283",-76.875,40.375,NA
"284",-76.625,40.375,NA
"285",-76.375,40.375,NA
"286",-76.125,40.375,NA
"287",-75.875,40.375,NA
"288",-75.625,40.375,NA
"289",-75.375,40.375,NA
"290",-75.125,40.375,NA
"291",-74.875,40.375,NA
"292",-74.625,40.375,NA
"293",-74.375,40.375,NA
"294",-74.125,40.375,NA
"295",-73.875,40.375,19.8628565921429
"296",-73.625,40.375,19.6735709057143
"297",-73.375,40.375,19.3221423285714
"298",-73.125,40.375,18.8707137771429
"299",-72.875,40.375,18.5014283314286
"300",-72.625,40.375,18.22571373
"301",-72.375,40.375,18.0042852678571
"302",-72.125,40.375,17.9371426442857
"303",-71.875,40.375,18.0385709485714
"304",-71.625,40.375,18.226428305
"305",-71.375,40.375,18.3471423557143
"306",-71.125,40.375,18.4014280857143
"307",-70.875,40.375,18.3485709592857
"308",-70.625,40.375,18.0821424221429
"309",-70.375,40.375,17.53928525
"310",-70.125,40.375,16.6757138792857
"311",-69.875,40.375,15.8714282164286
"312",-69.625,40.375,15.3721425192857
"313",-69.375,40.375,15.4171423235714
"314",-69.125,40.375,16.0357138778571
"315",-68.875,40.375,17.0535710885714
"316",-79.875,40.125,NA
"317",-79.625,40.125,NA
"318",-79.375,40.125,NA
"319",-79.125,40.125,NA
"320",-78.875,40.125,NA
"321",-78.625,40.125,NA
"322",-78.375,40.125,NA
"323",-78.125,40.125,NA
"324",-77.875,40.125,NA
"325",-77.625,40.125,NA
"326",-77.375,40.125,NA
"327",-77.125,40.125,NA
"328",-76.875,40.125,NA
"329",-76.625,40.125,NA
"330",-76.375,40.125,NA
"331",-76.125,40.125,NA
"332",-75.875,40.125,NA
"333",-75.625,40.125,NA
"334",-75.375,40.125,NA
"335",-75.125,40.125,NA
"336",-74.875,40.125,NA
"337",-74.625,40.125,NA
"338",-74.375,40.125,NA
"339",-74.125,40.125,NA
"340",-73.875,40.125,19.9071425021429
"341",-73.625,40.125,19.6114282607143
"342",-73.375,40.125,19.1985709342857
"343",-73.125,40.125,18.7835709721429
"344",-72.875,40.125,18.5328566685714
"345",-72.625,40.125,18.3971424107143
"346",-72.375,40.125,18.3085711342857
"347",-72.125,40.125,18.3307139542857
"348",-71.875,40.125,18.4571425578571
"349",-71.625,40.125,18.7678570064286
"350",-71.375,40.125,19.0228565771429
"351",-71.125,40.125,19.1742850714286
"352",-70.875,40.125,19.2992853442857
"353",-70.625,40.125,19.2764280871429
"354",-70.375,40.125,19.0642851414286
"355",-70.125,40.125,18.6364284242857
"356",-69.875,40.125,18.3528566364286
"357",-69.625,40.125,18.2742853842857
"358",-69.375,40.125,18.5764279357143
"359",-69.125,40.125,19.3571424478571
"360",-68.875,40.125,20.43214253
"361",-79.875,39.875,NA
"362",-79.625,39.875,NA
"363",-79.375,39.875,NA
"364",-79.125,39.875,NA
"365",-78.875,39.875,NA
"366",-78.625,39.875,NA
"367",-78.375,39.875,NA
"368",-78.125,39.875,NA
"369",-77.875,39.875,NA
"370",-77.625,39.875,NA
"371",-77.375,39.875,NA
"372",-77.125,39.875,NA
"373",-76.875,39.875,NA
"374",-76.625,39.875,NA
"375",-76.375,39.875,NA
"376",-76.125,39.875,NA
"377",-75.875,39.875,NA
"378",-75.625,39.875,NA
"379",-75.375,39.875,NA
"380",-75.125,39.875,NA
"381",-74.875,39.875,NA
"382",-74.625,39.875,NA
"383",-74.375,39.875,NA
"384",-74.125,39.875,NA
"385",-73.875,39.875,20.1578566692857
"386",-73.625,39.875,19.7835709707143
"387",-73.375,39.875,19.3357140685714
"388",-73.125,39.875,18.9628565657143
"389",-72.875,39.875,18.7692854742857
"390",-72.625,39.875,18.6778568542857
"391",-72.375,39.875,18.6735710428571
"392",-72.125,39.875,18.8349994928571
"393",-71.875,39.875,19.1707138335714
"394",-71.625,39.875,19.5457138335714
"395",-71.375,39.875,19.8478566571429
"396",-71.125,39.875,19.9835710528571
"397",-70.875,39.875,20.0921423778571
"398",-70.625,39.875,20.2928566257143
"399",-70.375,39.875,20.4571421485714
"400",-70.125,39.875,20.5735707957143
